Temperature,Density,Viscosity,VaporPressure
K,g/cm^3,mm^2/s,kPa
-60,,,
-50,,13.49,
-40,0.84127,6.9134,
-30,0.83379,4.8656,
-20,0.82557,3.6134,0.51
-10,0.81738,2.7679,0.79
0,0.80984,2.1411,1.27
10,0.80224,1.7648,1.57
20,0.79301,1.4759,1.89
30,0.78403,1.2629,2.25
40,0.77476,1.0998,2.8
50,0.76999,1.0545,3.36
60,0.75847,,4.11
70,0.74957,,5.33
80,0.74054,,6.91
90,0.73109,,9.06
100,,,12.03
110,,,15.9
120,,,21.38
