Temperature,Density,VaporPressure
C,g/cm^3,kPa
-40.1116427,0.822975,
-20.3349282,0.8086,
0.0797448,0.794225,
0.2109705,,0.04835033
20.0421941,,0.628554285
20.1754386,0.77985,
40.0843882,,1.402159558
40.2711324,0.765283333,
60.1265823,,3.432873401
80.1687764,,7.397600428
100.2109705,,14.60179954
120.0421941,,26.59268128
