Temperature,Density,VaporPressure
K,g/cm^3,kPa
0.0797448,0.838691667,
0.2109705,,0.04835033
20.0421941,,0.338452307
20.1754386,0.823933333,
39.9521531,0.80975,
40.0843882,,0.435152966
60.1265823,,1.305458899
80.1687764,,3.336172742
100.2109705,,6.382243506
120.2531646,,13.77984393
